aethernet-fastapi  | INFO:     Started server process [1]
aethernet-mosquitto  | 2026-09-11T14:42:19: New connection from 192.168.1.7:50614 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:42:19: New client connected from 192.168.1.7:50614 as aethernet-app-90d9dc4e (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T14:43:13: Client aethernet-app-90d9dc4e closed its connection.
aethernet-mosquitto  | 2026-09-11T14:46:12: New connection from 192.168.1.7:51138 on port 1883.
aethernet-mosquitto  | 2026-09-11T14:46:12: New client connected from 192.168.1.7:51138 as aethernet-app-90d9dc4e (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T14:46:14: Client aethernet-app-90d9dc4e closed its connection.
aethernet-mosquitto  | 2026-09-11T14:49:46: Client gateway-esp32 has exceeded timeout, disconnecting.
aethernet-mosquitto  | 2026-09-11T14:53:43: Client auto-D55F5DAD-03CA-987C-C173-C925C9C0E322 closed its connection.
aethernet-mosquitto  | 2026-09-11T15:06:50: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T15:36:51: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T16:06:52: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T16:36:53: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T17:06:54: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T17:36:55: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T18:06:56: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T18:36:57: Saving in-memory database to /mosquitto/data//mosquitto.db.
aethernet-mosquitto  | 2026-09-11T18:44:15: New connection from 192.168.1.23:61881 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:44:15: New client connected from 192.168.1.23:61881 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:46:06: New connection from 192.168.1.14:46706 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:46:06: New client connected from 192.168.1.14:46706 as auto-B071A7D2-2B3E-029A-70E9-CE44460C3DB4 (p2, c1, k60).
aethernet-mosquitto  | 2026-09-11T18:49:13: New connection from 192.168.1.23:59690 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:49:13: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T18:49:13: New client connected from 192.168.1.23:59690 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:49:20: New connection from 192.168.1.23:53018 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:49:20: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T18:49:20: New client connected from 192.168.1.23:53018 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:49:29: New connection from 192.168.1.23:53044 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:49:29: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T18:49:29: New client connected from 192.168.1.23:53044 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:50:16: New connection from 192.168.1.7:47562 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:50:16: New client connected from 192.168.1.7:47562 as aethernet-app-6a94d7f9 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:50:56: Client aethernet-app-6a94d7f9 closed its connection.
aethernet-mosquitto  | 2026-09-11T18:50:58: New connection from 192.168.1.7:52480 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:50:58: New client connected from 192.168.1.7:52480 as aethernet-app-6a94d7f9 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:52:05: Client auto-B071A7D2-2B3E-029A-70E9-CE44460C3DB4 disconnected.
aethernet-mosquitto  | 2026-09-11T18:52:31: Client gateway-esp32 has exceeded timeout, disconnecting.
aethernet-mosquitto  | 2026-09-11T18:53:45: Client aethernet-app-6a94d7f9 closed its connection.
aethernet-mosquitto  | 2026-09-11T18:55:51: New connection from 192.168.1.14:36588 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:55:51: New client connected from 192.168.1.14:36588 as auto-D5C7354B-F8C7-3EEC-D893-D82B98984A6A (p2, c1, k60).
aethernet-mosquitto  | 2026-09-11T18:56:18: New connection from 192.168.1.23:59632 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:56:18: New client connected from 192.168.1.23:59632 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:57:02: New connection from 192.168.1.23:56253 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:57:02: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T18:57:02: New client connected from 192.168.1.23:56253 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:57:17: New connection from 192.168.1.23:52240 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:57:17: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T18:57:17: New client connected from 192.168.1.23:52240 as gateway-esp32 (p2, c1, k15).
aethernet-mosquitto  | 2026-09-11T18:57:29: New connection from 192.168.1.23:56421 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:57:29: Client gateway-esp32 already connected, closing old connection.
aethernet-mosquitto  | 2026-09-11T18:57:29: New client connected from 192.168.1.23:56421 as gateway-esp32 (p2, c1, k15).
aethernet-fastapi    | INFO:     192.168.1.7:41552 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:41538 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:41552 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:41552 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:41558 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:41552 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:38748 - "GET /health HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:38762 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:38758 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-mosquitto  | 2026-09-11T18:57:57: New connection from 192.168.1.7:54296 on port 1883.
aethernet-mosquitto  | 2026-09-11T18:57:57: New client connected from 192.168.1.7:54296 as aethernet-app-7da8fad7 (p2, c1, k15).
aethernet-fastapi    | INFO:     192.168.1.23:56422 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-fastapi    | INFO:     192.168.1.23:56423 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-mosquitto  | 2026-09-11T18:59:21: Client aethernet-app-7da8fad7 closed its connection.
aethernet-fastapi    | INFO:     192.168.1.7:40950 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:40956 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-mosquitto  | 2026-09-11T18:59:31: New connection from 192.168.1.7:39848 on port 1883.
aethernet-fastapi    | INFO:     192.168.1.7:40936 - "GET /api/access-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-fastapi    | INFO:     192.168.1.7:40932 - "GET /api/security-events?limit=1&offset=0 HTTP/1.1" 200 OK
aethernet-mosquitto  | 2026-09-11T18:59:32: New client connected from 192.168.1.7:39848 as aethernet-app-7da8fad7 (p1, c1, k15).
aethernet-fastapi    | INFO:     192.168.1.23:56424 - "POST /api/access-events HTTP/1.1" 201 Created
aethernet-mosquitto  | 2026-09-11T19:02:29: Client auto-D5C7354B-F8C7-3EEC-D893-D82B98984A6A disconnected.
